0,NEGATIVE,-,-,POSITIVE
1,NEGATIVE,-,-,-
2,NEGATIVE,-,-,-
3,POSITIVE,POSITIVE,POSITIVE,POSITIVE
4,POSITIVE,POSITIVE,POSITIVE,-
5,NEGATIVE,-,-,-
6,-,-,-,-
7,POSITIVE,-,-,-
8,NEGATIVE,-,POSITIVE,-
9,POSITIVE,POSITIVE,-,POSITIVE
10,POSITIVE,-,-,-
11,POSITIVE,-,POSITIVE,-
12,NEGATIVE,POSITIVE,-,-
13,POSITIVE,-,-,-
14,POSITIVE,NEGATIVE,-,-
15,NEGATIVE,-,NEGATIVE,NEGATIVE
16,NEGATIVE,-,NEGATIVE,-
17,POSITIVE,POSITIVE,POSITIVE,-
18,POSITIVE,POSITIVE,-,-
19,POSITIVE,-,-,-
20,POSITIVE,-,-,-
21,NEGATIVE,POSITIVE,-,-
22,POSITIVE,POSITIVE,POSITIVE,NEGATIVE
23,POSITIVE,-,POSITIVE,-
24,POSITIVE,-,-,-
25,POSITIVE,-,POSITIVE,POSITIVE
26,POSITIVE,-,-,POSITIVE
27,POSITIVE,-,POSITIVE,POSITIVE
28,POSITIVE,-,-,-
29,POSITIVE,-,-,-
30,NEGATIVE,-,-,NEGATIVE
31,NEGATIVE,-,NEGATIVE,-
32,POSITIVE,POSITIVE,-,POSITIVE
33,POSITIVE,-,-,-
34,POSITIVE,-,-,-
35,POSITIVE,POSITIVE,POSITIVE,-
36,POSITIVE,-,-,-
37,POSITIVE,POSITIVE,POSITIVE,POSITIVE
38,POSITIVE,POSITIVE,POSITIVE,-
39,NEGATIVE,NEGATIVE,-,NEGATIVE
40,POSITIVE,-,-,-
41,NEGATIVE,-,-,-
42,NEGATIVE,-,NEGATIVE,-
43,POSITIVE,-,-,-
44,POSITIVE,-,-,-
45,POSITIVE,POSITIVE,-,NEGATIVE
46,POSITIVE,-,-,-
47,POSITIVE,-,-,-
48,POSITIVE,POSITIVE,NEGATIVE,NEGATIVE
49,POSITIVE,-,POSITIVE,NEGATIVE
50,POSITIVE,-,-,-
51,POSITIVE,-,NEGATIVE,POSITIVE
52,NEGATIVE,-,-,-
53,POSITIVE,-,-,POSITIVE
54,POSITIVE,-,-,-
55,POSITIVE,POSITIVE,-,POSITIVE
56,POSITIVE,POSITIVE,POSITIVE,-
57,NEGATIVE,-,POSITIVE,-
58,POSITIVE,-,POSITIVE,POSITIVE
59,POSITIVE,POSITIVE,POSITIVE,POSITIVE
60,POSITIVE,POSITIVE,-,POSITIVE
61,POSITIVE,POSITIVE,POSITIVE,POSITIVE
62,NEGATIVE,-,-,-
63,POSITIVE,NEGATIVE,POSITIVE,-
64,POSITIVE,-,POSITIVE,POSITIVE
65,POSITIVE,-,POSITIVE,-
66,POSITIVE,NEGATIVE,-,-
67,POSITIVE,-,POSITIVE,-
68,POSITIVE,-,POSITIVE,-
69,POSITIVE,NEGATIVE,-,POSITIVE
70,POSITIVE,-,-,-
71,NEGATIVE,-,-,-
72,NEGATIVE,-,POSITIVE,-
73,NEGATIVE,-,NEGATIVE,-
74,POSITIVE,-,-,-
75,POSITIVE,POSITIVE,-,-
76,POSITIVE,-,POSITIVE,-
77,POSITIVE,POSITIVE,POSITIVE,POSITIVE
78,POSITIVE,-,-,-
79,POSITIVE,-,POSITIVE,-
80,POSITIVE,POSITIVE,-,NEGATIVE
81,POSITIVE,-,-,POSITIVE
82,NEGATIVE,-,-,-
83,NEGATIVE,-,-,-
84,POSITIVE,-,-,POSITIVE
85,POSITIVE,POSITIVE,-,-
86,NEGATIVE,-,POSITIVE,-
87,POSITIVE,NEGATIVE,-,-
88,POSITIVE,POSITIVE,-,-
89,POSITIVE,-,POSITIVE,-
90,POSITIVE,-,-,-
91,POSITIVE,-,-,-
92,POSITIVE,-,-,NEGATIVE
93,POSITIVE,-,-,NEGATIVE
94,NEGATIVE,POSITIVE,POSITIVE,POSITIVE
95,POSITIVE,-,-,-
96,POSITIVE,POSITIVE,-,POSITIVE
97,POSITIVE,-,-,POSITIVE
98,NEGATIVE,-,-,-
99,NEGATIVE,POSITIVE,POSITIVE,POSITIVE
100,NEGATIVE,-,POSITIVE,NEGATIVE
101,POSITIVE,POSITIVE,POSITIVE,POSITIVE
102,POSITIVE,POSITIVE,-,NEGATIVE
103,NEGATIVE,POSITIVE,POSITIVE,-
104,POSITIVE,-,POSITIVE,-
105,POSITIVE,-,-,-
106,POSITIVE,-,-,-
107,POSITIVE,-,-,-
108,NEGATIVE,-,-,-
109,POSITIVE,POSITIVE,-,-
110,POSITIVE,POSITIVE,NEGATIVE,POSITIVE
111,POSITIVE,POSITIVE,NEGATIVE,POSITIVE
112,POSITIVE,-,-,POSITIVE
113,POSITIVE,-,POSITIVE,POSITIVE
114,NEGATIVE,-,-,NEGATIVE
115,POSITIVE,-,-,-
116,NEGATIVE,-,-,-
117,POSITIVE,-,-,POSITIVE
118,POSITIVE,-,-,POSITIVE
119,POSITIVE,-,POSITIVE,POSITIVE
120,NEGATIVE,NEGATIVE,NEGATIVE,-
121,POSITIVE,NEGATIVE,POSITIVE,-
122,POSITIVE,-,-,-
123,POSITIVE,-,-,POSITIVE
124,POSITIVE,POSITIVE,-,POSITIVE
125,NEGATIVE,-,-,-
126,POSITIVE,-,POSITIVE,-
127,NEGATIVE,-,-,NEGATIVE
128,POSITIVE,-,-,-
129,POSITIVE,POSITIVE,-,POSITIVE
130,POSITIVE,-,NEGATIVE,-
131,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE
132,POSITIVE,-,-,-
133,POSITIVE,-,-,-
134,NEGATIVE,-,-,-
135,POSITIVE,-,-,-
136,POSITIVE,-,POSITIVE,-
137,POSITIVE,POSITIVE,POSITIVE,-
138,POSITIVE,-,POSITIVE,-
139,NEGATIVE,-,-,-
140,NEGATIVE,-,-,-
141,POSITIVE,-,-,POSITIVE
142,POSITIVE,-,POSITIVE,-
143,POSITIVE,-,-,-
144,POSITIVE,NEGATIVE,POSITIVE,POSITIVE
145,POSITIVE,NEGATIVE,POSITIVE,POSITIVE
146,POSITIVE,-,-,-
147,POSITIVE,POSITIVE,NEGATIVE,POSITIVE
148,POSITIVE,-,-,-
149,POSITIVE,POSITIVE,-,-
150,NEGATIVE,-,-,-
151,POSITIVE,POSITIVE,-,POSITIVE
152,POSITIVE,-,-,-
153,NEGATIVE,-,-,-
154,POSITIVE,-,-,-
155,POSITIVE,-,-,POSITIVE
156,NEGATIVE,-,-,-
157,POSITIVE,-,-,POSITIVE
158,POSITIVE,POSITIVE,POSITIVE,POSITIVE
159,POSITIVE,POSITIVE,POSITIVE,POSITIVE
160,NEGATIVE,NEGATIVE,-,NEGATIVE
161,POSITIVE,-,POSITIVE,-
162,POSITIVE,-,-,POSITIVE
163,POSITIVE,POSITIVE,-,POSITIVE
164,POSITIVE,POSITIVE,-,NEGATIVE
165,POSITIVE,-,-,-
166,POSITIVE,POSITIVE,POSITIVE,-
167,POSITIVE,-,-,-
168,POSITIVE,-,NEGATIVE,POSITIVE
169,POSITIVE,-,POSITIVE,-
170,POSITIVE,POSITIVE,POSITIVE,POSITIVE
171,POSITIVE,-,POSITIVE,NEGATIVE
172,POSITIVE,-,-,-
173,POSITIVE,-,-,-
174,NEGATIVE,POSITIVE,POSITIVE,NEGATIVE
175,POSITIVE,-,POSITIVE,POSITIVE
176,POSITIVE,NEGATIVE,-,POSITIVE
177,NEGATIVE,-,-,-
178,POSITIVE,NEGATIVE,POSITIVE,-
179,NEGATIVE,POSITIVE,-,NEGATIVE
180,POSITIVE,-,-,-
181,POSITIVE,POSITIVE,NEGATIVE,POSITIVE
182,NEGATIVE,-,-,-
183,POSITIVE,-,-,POSITIVE
184,POSITIVE,-,-,-
185,POSITIVE,-,-,-
186,POSITIVE,POSITIVE,POSITIVE,POSITIVE
