,Unnamed: 0,rid,text,food,ambience,service,price
0,0,1404,saya suka konsep saya rasa seperti di pasar tradisional swiss tempat ini luar biasa makan luar biasa tetapi turut saya mereka perlu buat ubah rotasi dalam menu atau bahkan menu baru saya pilih tempat ini untuk makan siang terkadang saya rasa bosan dengan menu cara seluruh terima kasih marche untuk makan lezat juga tempat yang bagus,POSITIVE,POSITIVE,,
1,1,3767,sengaja macet2an kesini cuman buat nyobain nasi goreng cakalang yang orang2 bilang enak dan emang beneran enak sih nasi goreng wkkw suasana nya juga enak buat makan ramai2 gitu,POSITIVE,POSITIVE,,
2,2,2070,suka sama bebek ini karna dulu d ajak tmn makan di sini ehh malah jd tagih sama daging yg empuk dan sambel mentah nya yg dasyatttt dulu tempat masih tenda sekarang udh ada kios kursi lumayan banyak ada toilet nya juga kalo makan bebek ini selalu order dua bebek nasi uduk sate rempela sambel mentah ekstra pedas dan es teh manis sambel mentah nya bisa request pedas,POSITIVE,,,
3,3,1923,sangat bagus dan sangat enak gokils deh enak sangat anjur gyutan - semur iga sapi - ayam panggang sangat baik dan semua makan tutup juga sangat bagus,POSITIVE,,,
4,4,1641,tempat baik untuk kencan dengan orang suasana yang baik interior yang bagus harga yang layak dulu hamburger baik tetapi favorit saya adalah alfredo atau carbonara prince house harus siku beri peringkat 5 0 hanya wafel yang jangkau tidak ada lagi harga tidak layak lagi,POSITIVE,POSITIVE,,NEGATIVE
5,5,697,tempat dessert kelapa yang fresh banget kalo kesini paling suka beli coco pouchnya sambil ngobrol sama temen harga nya sahabat banget dan lumayan banyak isi coco pouch nya paling suka coco pouch rasa honeydew asa seger bangettt bener energy potion,POSITIVE,,,POSITIVE
6,6,2519,tryin menya sakura ramen untuk pertama kali dengan kelompok teman saya pertama kita sedikit ragu tetapi tanda di depan resto cukup besar kata bahwa jepang no 1 ramen jadi kami putus untuk coba bagi besar dari kita coba tonkotsu ramen dan yang pedas kaldu itu cukup tebal daripada resto ramen lain tetapi daging sangat lembab dan lembut sehingga kombinasi pasti datang lagi,POSITIVE,,,
7,7,2899,tadi gue first time lewat beji pas lewat dpn cafe ini gue lgsng trtarik buat dtg karna baru bgt buka gue mesen beberapa makan yaitu roti choco crunch sossis and potato pke sauce bbq apa tau nama lupa sm pizza mie pake topping smoked beef gilak gue rasa utk servis msh hrs byk ajar deh gak kyk td layan gak peka masih kaku gt terus masa gue dah hampir 30menit lama gak ada satu mknan yg dtg trs cwok gue manggil waittersnya nanya mknannya dah jd apa belum dan mas2 nya blg maaf ya mas td kita bingung cari yg mesen buset deh trnyata bener meja sblah gue kyknya dah mulai bosen layan pun lihat pd masih bingung so klo mnrt gue dri segi makan sih lumayan service dan prosedur layan sih yg mesti jd concern kliatan bgt blm ready pdhal tempat dah keren luas bgt interior keren smga bisa terus maju,POSITIVE,POSITIVE,NEGATIVE,
8,8,3334,cheese cake nya juara lembut tempat enak cozy parkir pun lumayan luas,POSITIVE,POSITIVE,,
9,9,391,been here twice and waktu itu gue ke sini pas udah rada malem as you know wargih ini selalu rame gapernah sepi,POSITIVE,,,
10,10,300,konsep hebat yang dapat hidup kembali dengan nama marche varietas makan tidak banyak saya selalu datang ke sini hanya untuk ayam panggang karena harga tidak tinggi sama sekali interior yang baik,,POSITIVE,,POSITIVE
