,rid,text,food,ambience,service,price
0,1404,"Saya suka konsepnya.Saya merasa seperti di pasar tradisional Swiss.Tempat ini luar biasa.Makanannya luar biasa.Tetapi, menurut saya, mereka perlu membuat perubahan / rotasi dalam menu atau bahkan menu baru.Saya memilih tempat ini untuk makan siang.Terkadang saya merasa bosan dengan menu.Secara keseluruhan, terima kasih Marche untuk makanan lezat, juga tempat yang bagus.",POSITIVE,POSITIVE,,
1,3767,Sengaja macet2an kesini cuman buat nyobain nasi goreng cakalang yang orang2 bilang enak. Dan emang beneran enak sih nasi gorengnya wkkw suasana nya juga enak buat makan ramai2 gitu.,POSITIVE,POSITIVE,,
2,2070,"Suka sama bebek ini karna dulu d ajak tmn makan di sini, ehh malah jd ketagihan sama dagingnya yg empuk dan sambel mentah nya yg dasyatttt Dulu tempatnya masih tenda, sekarang udh ada kiosnya, kursinya lumayan banyak ada toilet nya juga.. Kalo makan bebek ini selalu order dua bebek, nasi uduk, sate rempela, sambel mentah ekstra pedas dan es teh manis, sambel mentah nya bisa request pedasnya..",POSITIVE,,,
3,1923,Sangat bagus dan sangat enak !!!Gokils deh enaknya ... sangat dianjurkan.Gyutan - Semur Iga Sapi - Ayam Panggang sangat baik dan semua makanan penutup juga sangat bagus ..,POSITIVE,,,
4,1641,"Tempat terbaik untuk berkencan dengan seseorang.Suasana yang baik interior yang bagus.Harga yang layak (dulu) hamburger terbaik tetapi favorit saya adalah Alfredo atau Carbonara Prince House Seharusnya Siku memberi peringkat 5.0 hanya wafel yang terjangkau tidak ada lagi, harganya tidak layak lagi.",POSITIVE,POSITIVE,,NEGATIVE
5,697,"Tempat dessert kelapa yang fresh banget! Kalo kesini paling suka beli coco pouchnya sambil ngobrol"""" sama temen"""".. Harga nya bersahabat banget, dan lumayan banyak isi coco pouch nya.. Paling suka coco pouch rasa honeydew asanya seger bangettt~ bener"""" energy potion!",POSITIVE,,,POSITIVE
6,2519,"Tryin Menya Sakura Ramen untuk pertama kalinya dengan sekelompok teman-teman saya.Pertama kita sedikit meragukan tetapi tanda di depan Resto cukup besar katakan bahwa """" Jepang no 1 ramen """", jadi kami memutuskan untuk mencobanya.Sebagian besar dari kita mencoba tonkotsu ramen dan yang pedas.Kaldu itu cukup tebal daripada resto ramen lainnya tetapi dagingnya sangat lembab dan lembut sehingga kombinasi.Pasti datang lagi 👌👌👌",POSITIVE,,,
7,2899,"Tadi gue first time lewat Beji pas lewat dpn cafe ini, gue lgsng trtarik buat dtg Karna baru bgt buka. Gue mesen beberapa makanan yaitu roti choco crunch , sossis and potato pke sauce bbq apa tau namanya lupa, sm pizza mie pake topping smoked beef. Gilak gue rasa utk servis msh hrs byk belajar deh, gak kyk td pelayannya gak peka. Masih kaku gt. Terus masa gue dah hampir 30menit lama gak ada satupun mknan yg dtg. Trs cwok gue manggil waittersnya nanya mknannya dah jd apa belum, dan mas2 nya blg """"maaf ya mas td kita bingung cari yg mesen"""" buset deh trnyata bener meja sblah gue kyknya dah mulai bosen. Pelayannya pun terlihat pd masih kebingungan. So klo mnrt gue dri segi makanan sih lumayan, service dan prosedur pelayanannya sih yg mesti jd concern, kliatan bgt blm ready. Pdhal tempatnya dah keren, luas bgt. Interiornya keren. Smga bisa terus maju.",POSITIVE,POSITIVE,NEGATIVE,
8,3334,"Cheese cake nya juara. Lembut. Tempatnya enak, cozy, parkirannya pun lumayan luas.",POSITIVE,POSITIVE,,
9,391,"Been here twice and waktu itu gue ke sini pas udah rada malem. As you know Wargih ini selalu rame gapernah sepi,",POSITIVE,,,
